identifier;type;ra [°];dec [°];redshift
TXS 0038+319;;10,31642;32,18544;
3HSPJ004123.0+375856;BL Lac;10,34596;37,98214;0,380
3HSPJ004141.2-160747;BL Lac;10,42171;-16,12978;0,430
3HSPJ004143.2+083319;BL Lac;10,43017;8,55514;0,500
3HSPJ004147.0-470137;BL Lac;10,44592;-47,02692;0,150
5BZQJ0042-4030;FSRQ;10,50500;-40,51089;2,478
3HSPJ004202.4-143601;BL Lac;10,50992;-14,60022;0,500
5BZQJ0042+2320;FSRQ;10,51896;23,33369;1,426
5BZBJ0042+3641;BL Lac;10,53375;36,68695;0,330
5BZQJ0042+1509;FSRQ;10,55658;15,15428;1,159
5BZQJ0042+1009;FSRQ;10,68483;10,16375;1,657
5BZUJ0043-2639;;10,84467;-26,65167;0,451
3HSPJ004322.8+180846;BL Lac;10,84500;18,14614;0,322
3HSPJ004332.5+754518;BL Lac;10,88558;75,75511;0,270
5BZQJ0043+0025;FSRQ;10,88629;0,41667;1,128
TXS 0040+221;;10,89045;22,39627;
3HSPJ004334.1-044300;BL Lac;10,89217;-4,71678;0,480
3HSPJ004348.7-111607;BL Lac;10,95271;-11,26861;0,264
5BZQJ0043+3426;FSRQ;10,95371;34,44053;0,966
5BZQJ0044-3752;FSRQ;11,07104;-37,88311;0,483
5BZQJ0044-8422;FSRQ;11,11067;-84,37778;1,032
4FGL J0044.9+4553;;11,25014;45,92091;
3HSPJ004501.6+051215;BL Lac;11,25658;5,20425;0,270
3FGL J0045.2-3704;;11,30027;-37,09680;
5BZBJ0045+2127;BL Lac;11,33033;21,46114;0,350
5BZQJ0045-2243;FSRQ;11,41496;-22,73197;1,538
5BZBJ0045+1217;BL Lac;11,43054;12,28661;
3HSPJ004554.8-172329;BL Lac;11,47821;-17,39125;0,096
3HSPJ004603.3+401347;BL Lac;11,51363;40,22961;0,670
5BZQJ0046+3900;FSRQ;11,69812;39,01316;0,958
5BZBJ0047+5657;BL Lac;11,75179;56,96178;
5BZBJ0047+2017;;11,79079;20,29153;
3HSPJ004715.1-811136;BL Lac;11,81292;-81,19331;0,300
PKS 0045-623;;11,85508;-62,12742;
5BZQJ0047+2435;FSRQ;11,93279;24,58775;0,620
5BZQJ0047-8256;FSRQ;11,96412;-82,94705;1,112
3HSPJ004752.1+544746;BL Lac;11,96688;54,79611;0,260
5BZBJ0047+3948;BL Lac;11,98008;39,81600;0,252
5BZQJ0048+2235;FSRQ;12,01087;22,59008;1,161
1RXS J004836.9-24263;;12,15408;-24,44822;
5BZGJ0048+3157;;12,19642;31,95700;0,015
3HSPJ004859.2+422351;BL Lac;12,24646;42,39753;0,370
CRATES J004901.37+22;;12,25571;22,88763;
5BZUJ0049-4457;;12,31917;-44,95306;0,121
