identifier;type;ra [°];dec [°];redshift
3FGL J1718.1-3056;;259,52173;-30,93753;
5BZGJ1718+4228;;259,56332;42,47200;0,180
3HSPJ171841.4+360523;BL Lac;259,67258;36,08961;0,350
3HSPJ171902.3+552434;;259,75970;55,40960;
5BZBJ1719+5524;BL Lac;259,75977;55,40178;0,627
5BZBJ1719+1745;BL Lac;259,80435;17,75178;
5BZGJ1719+4858;;259,81024;48,98042;0,024
3HSPJ171921.5+120722;BL Lac;259,83957;12,12275;0,340
5BZQJ1719+4804;FSRQ;259,90915;48,07000;1,084
5BZBJ1719+7443;;259,92081;74,71667;
5BZQJ1719+0817;FSRQ;259,96756;8,28433;1,185
SDSS J172010.33+3825;;260,04306;38,43227;
3HSPJ172035.0+100512;BL Lac;260,14566;10,08664;0,500
5BZQJ1721+3542;FSRQ;260,28955;35,70447;0,283
5BZBJ1721+6004;BL Lac;260,31912;60,06844;0,531
5BZQJ1722+5856;FSRQ;260,65305;58,93953;1,979
5BZQJ1722+6105;FSRQ;260,66690;61,09992;2,058
5BZQJ1722+2815;FSRQ;260,67566;28,25003;0,945
5BZQJ1722+1013;FSRQ;260,68576;10,22661;0,732
5BZQJ1722+5611;FSRQ;260,74170;56,18953;2,269
5BZQJ1723+6547;FSRQ;260,80893;65,79613;1,442
NGC 6328;;260,92096;-65,01017;
3FGL J1723.5-5609;;260,93570;-56,24822;
3FGL J1723.7-7713;;260,96185;-77,23071;
S5 1726+76;;260,99769;76,88654;
5BZQJ1724+4004;FSRQ;261,02261;40,07681;1,049
5BZQJ1724+3303;FSRQ;261,05917;33,05108;0,548
NVWJ1724.1+4707;;261,16110;47,12220;
5BZBJ1725+1152;BL Lac;261,26816;11,87089;0,180
4FGL J1725.4+5254;;261,33582;52,91889;
5BZBJ1725+5851;BL Lac;261,39587;58,86106;
PKS 1719-729;;261,50601;-72,99956;
5BZQJ1726+3213;FSRQ;261,64633;32,22306;1,090
5BZBJ1726+5955;BL Lac;261,66837;59,93036;
3HSPJ172658.2+263437;BL Lac;261,74268;26,57694;0,260
NVSS J172720+064123;;261,83350;6,68926;
5BZGJ1727+5510;;261,84778;55,18153;0,247
5BZQJ1727+4530;FSRQ;261,86520;45,51103;0,717
NVWJ1727.5+1928;;261,90674;19,48304;
4FGL J1727.9-0654;;261,96545;-6,96905;
5BZQJ1728+1215;FSRQ;262,02936;12,26097;0,583
5BZBJ1728+5013;BL Lac;262,07761;50,21959;0,055
5BZQJ1728+0427;FSRQ;262,10397;4,45136;0,293
3HSPJ172838.4+704102;BL Lac;262,15979;70,68401;0,551
MRC 1722-748;;262,18863;-74,89758;
5BZQJ1728+3838;FSRQ;262,24643;38,64067;1,386
5BZBJ1729+5255;BL Lac;262,32816;52,93314;0,349
5BZQJ1730+0024;FSRQ;262,64584;0,41075;1,335
3HSPJ173044.8+380455;BL Lac;262,68661;38,08192;0,220
5BZGJ1730+3714;;262,69601;37,24867;0,204
5BZUJ1731-3003;;262,94528;-30,05247;
5BZQJ1732-7200;FSRQ;263,04764;-72,01114;0,620
5BZQJ1732-5553;FSRQ;263,11771;-55,89761;2,154
5BZQJ1733-1304;FSRQ;263,26129;-13,08042;0,902
4FGL J1733.4+1521;;263,34418;15,22284;
5BZGJ1733+4519;;263,37015;45,33083;0,317
PMN J1733-6055;;263,41010;-60,92833;
SDSS J173340.31+5426;;263,41797;54,44353;
5BZQJ1733-7935;FSRQ;263,41959;-79,59881;0,876
MRC 1731+081;;263,50223;8,10785;
5BZQJ1734+3857;FSRQ;263,58575;38,96428;0,976
5BZUJ1734+0926;;263,74326;9,44953;0,735
4FGL J1735.0-0132;;263,76083;-1,55028;
5BZBJ1735+5650;BL Lac;263,79507;56,83964;0,388
3FGL J1735.4-1118;;263,86325;-11,29291;
5BZQJ1735+3616;FSRQ;263,95038;36,27933;0,803
4FGL J1735.8-5932;;263,97122;-59,53486;
5BZBJ1736+2033;;264,02188;20,55030;
5BZQJ1736+0631;FSRQ;264,11908;6,52986;2,387
5BZQJ1737+0621;FSRQ;264,30719;6,35100;1,207
5BZBJ1737+5702;BL Lac;264,32974;57,03789;
1RXS J173553.1-59320;;264,33197;-59,36164;
3FGL J1739.0+8716;;264,34204;87,29567;
4FGL J1738.0+0236;;264,39465;2,61401;
NVSS J173807+400312;;264,53101;40,05330;
5BZQJ1738-5334;FSRQ;264,66168;-53,56945;1,721
5BZQJ1738+3224;FSRQ;264,66876;32,40250;0,126
3HSPJ173842.5+382103;BL Lac;264,67697;38,35072;0,310
5BZQJ1739+4955;FSRQ;264,86411;49,91761;1,545
5BZQJ1739+3358;FSRQ;264,89734;33,96894;1,625
5BZBJ1739+4737;BL Lac;264,98804;47,63289;
5BZQJ1740+4506;FSRQ;265,02652;45,11400;2,788
3HSPJ174017.4+432450;BL Lac;265,07242;43,41389;0,480
3FGL J1740.4+5347;;265,15216;53,77327;
5BZQJ1740+5211;FSRQ;265,15408;52,19539;1,381
5BZQJ1740+4348;FSRQ;265,20395;43,80450;2,246
3HSPJ174109.0-733815;BL Lac;265,28735;-73,63736;0,290
NVSS J174111+573812;;265,29877;57,63688;
5BZBJ1741+7224;;265,34540;72,41442;0,220
NVSS J174147+255443;;265,44821;25,91199;
3FGL J1741.9-2539;;265,47687;-25,62872;
5BZBJ1742+5945;BL Lac;265,63333;59,75189;
NVWJ1743.9+0253;;265,83170;2,88610;
NVWJ1743.7+0042;;265,91570;0,70470;
5BZQJ1743+3747;FSRQ;265,94855;37,79828;1,958
3HSPJ174357.5+375311;BL Lac;265,98975;37,88628;0,500
5BZGJ1743+1935;;265,99097;19,58583;0,080
5BZQJ1743-0350;FSRQ;265,99527;-3,83461;1,057
3HSPJ174402.9+463741;;266,01216;46,62808;
3HSPJ174419.8+185218;BL Lac;266,08252;18,87167;0,390
5BZBJ1744-0518;BL Lac;266,08710;-5,31133;0,310
PMN J1744-5715;;266,14786;-57,25303;
3HSPJ174442.8+134803;BL Lac;266,17850;13,80081;0,230
4FGL J1744.8+5540;;266,23587;55,70477;
3HSPJ174459.5-172639;BL Lac;266,24805;-17,44419;
NVSS J174501+473247;;266,25800;47,54622;
5BZQJ1745+2252;FSRQ;266,26944;22,88003;1,884
5BZBJ1745-0753;BL Lac;266,36292;-7,88442;
NVWJ1745.0+4059;;266,36850;40,99780;
5BZQJ1745+1720;FSRQ;266,39670;17,33372;1,702
5BZGJ1745+3951;;266,40659;39,85861;0,267
5BZBJ1746+5028;;266,63486;50,46964;0,430
NVWJ1746.1+2603;;266,70120;26,05570;
3FGL J1747.1+0139;;266,71881;1,69653;
5BZBJ1747+4937;BL Lac;266,76083;49,63306;0,460
4FGL J1746.8-5235;;266,77368;-52,60903;
4FGL J1747.4+2759;;266,80179;27,99439;
PMN J1747-5310;;266,83414;-53,17228;
PMN J1747-5450;;266,85181;-54,83933;
5BZBJ1747+4658;BL Lac;266,86105;46,98081;
5BZQJ1747+2324;FSRQ;266,95862;23,41075;2,203
5BZQJ1748+3404;FSRQ;267,02423;34,06700;2,763
NVWJ1748.0+0358;;267,04887;3,97604;
87GB 174618.6+270457;;267,06978;27,07592;
5BZBJ1748+7005;BL Lac;267,13684;70,09744;0,770
3HSPJ174837.6-085441;BL Lac;267,15680;-8,91131;0,330
5BZBJ1749+4321;BL Lac;267,25153;43,36425;
5BZQJ1749-6258;FSRQ;267,35712;-62,97192;1,215
3HSPJ174929.9+463136;BL Lac;267,37469;46,52658;0,530
5BZGJ1750+4700;;267,52087;47,01205;0,160
3HSPJ175052.7+550751;BL Lac;267,71970;55,13072;0,290
5BZBJ1751+0939;BL Lac;267,88675;9,65019;0,322
MG2 J175143+2921;;267,92785;29,34728;
3HSPJ175156.9+655118;BL Lac;267,98688;65,85487;0,420
4FGL J1752.1+4531;;268,10907;45,51651;
5BZQJ1752+1734;FSRQ;268,19168;17,57233;0,505
5BZQJ1753+4409;FSRQ;268,34439;44,16270;0,871
3HSPJ175328.1+321849;BL Lac;268,36697;32,31358;0,500
4FGL J1753.4-5913;;268,38147;-59,17203;
3FGL J1753.5-5010;;268,41055;-50,25401;
5BZQJ1753+2848;FSRQ;268,42697;28,80136;1,118
5BZBJ1754+3212;BL Lac;268,54922;32,20644;
5BZBJ1754-6423;BL Lac;268,67499;-64,39606;
UGC 11041;;268,71292;34,71307;
5BZGJ1755+6236;;268,95184;62,61225;0,027
3HSPJ175600.7+332924;BL Lac;269,00287;33,49003;
5BZQJ1756+5748;FSRQ;269,01511;57,81333;2,110
5BZBJ1756+5522;BL Lac;269,06619;55,37169;0,657
5BZQJ1756+1553;FSRQ;269,14056;15,89550;0,547
3FGL J1757.1+1533;;269,22125;15,58912;
5BZBJ1757+7033;BL Lac;269,30515;70,56039;0,407
3FGL J1757.4+6536;;269,34967;65,60271;
5BZGJ1757+5523;;269,36780;55,38670;0,065
3HSPJ175751.3-453506;BL Lac;269,46378;-45,58506;
87GB 175603.3+143022;;269,57995;14,49911;
3FGL J1759.1-4822;;269,74356;-48,35348;
5BZQJ1759+2343;FSRQ;269,75150;23,72972;1,721
5BZBJ1759+7037;;269,95419;70,62258;
3HSPJ175955.3+150110;BL Lac;269,98026;15,01933;
3HSPJ180002.0+281046;BL Lac;270,00848;28,17936;0,440
5BZQJ1800+3848;FSRQ;270,10321;38,80853;2,092
5BZBJ1800+6126;;270,10483;61,43708;
5BZBJ1800+7828;BL Lac;270,19034;78,46778;0,680
4FGL J1801.5+2123;;270,35202;21,36262;
5BZQJ1801+4404;FSRQ;270,38464;44,07275;0,663
3HSPJ180144.0+295056;BL Lac;270,43317;29,84878;0,450
3HSPJ180158.9+610938;BL Lac;270,49551;61,16058;
5BZQJ1802-4925;FSRQ;270,54102;-49,41978;2,286
5BZGJ1802+4819;;270,63138;48,32805;0,129
5BZQJ1802-3940;FSRQ;270,67783;-39,66886;1,319
3HSPJ180311.4+723504;BL Lac;270,79767;72,58453;
5BZQJ1803-6507;FSRQ;270,84793;-65,12688;1,198
5BZQJ1803+0934;FSRQ;270,89020;9,57386;0,683
4FGL J1803.5+2756;;270,92117;27,90092;
5BZBJ1803+6548;;270,97635;65,80697;0,085
5BZQJ1803+0341;FSRQ;270,98450;3,68544;1,420
5BZGJ1804+0042;;271,03699;0,70614;0,087
3HSPJ180409.3+562122;BL Lac;271,03879;56,35620;0,550
5BZQJ1804+0101;FSRQ;271,06659;1,02567;1,522
3HSPJ180431.9+614113;BL Lac;271,13309;61,68694;0,270
5BZUJ1804+1755;;271,17725;17,93303;0,435
3HSPJ180451.4+322026;BL Lac;271,21414;32,34064;0,310
4FGL J1806.2+6143;;271,58310;61,68842;
TXS 1805+537;;271,63462;53,71431;
PKS 1757-807;;271,67847;-80,70933;
5BZBJ1806+6949;BL Lac;271,71115;69,82447;0,046
3HSPJ180732.2+642926;BL Lac;271,88409;64,49064;0,239
NVWJ1807.1+5903;;271,90020;59,05590;
5BZQJ1807+2204;FSRQ;271,91171;22,08233;0,798
5BZQJ1807-6413;FSRQ;271,97513;-64,23058;1,016
5BZBJ1808+4649;BL Lac;272,00500;46,82805;
MG2 J180813+3501;;272,04804;35,02185;
5BZQJ1808-5011;FSRQ;272,05765;-50,19814;1,606
5BZQJ1808+4542;FSRQ;272,09122;45,70581;0,830
3HSPJ180832.7+510407;BL Lac;272,13632;51,06866;0,290
3HSPJ180845.7+241906;BL Lac;272,19037;24,31825;0,450
3HSPJ180849.7+352043;BL Lac;272,20706;35,34519;0,220
5BZBJ1809+2041;BL Lac;272,35593;20,69197;0,280
5BZQJ1809+1849;FSRQ;272,43887;18,81750;0,928
5BZBJ1809+2910;BL Lac;272,43915;29,17219;
5BZUJ1809-4552;;272,49112;-45,87806;0,070
2MASS J18103800+5335;;272,65829;53,58377;
5BZBJ1810+1608;BL Lac;272,70908;16,13911;
5BZBJ1811+0341;;272,82510;3,68717;
5BZBJ1811+1704;;272,92990;17,08258;
5BZBJ1811+4416;BL Lac;272,97290;44,27436;
NVSS J181308+424853;;273,28384;42,81546;
NVWJ1813.2+2814;;273,29020;28,23660;
5BZQJ1813+4304;FSRQ;273,31122;43,07103;1,088
5BZBJ1813+0615;BL Lac;273,38919;6,26167;
5BZBJ1813+3144;;273,39667;31,73825;0,117
5BZQJ1813+2952;FSRQ;273,40527;29,87720;1,351
3HSPJ181403.4+382810;BL Lac;273,51428;38,46950;0,350
5BZQJ1814+4113;FSRQ;273,59460;41,21822;1,564
5BZQJ1815+1623;FSRQ;273,81189;16,39608;0,742
5BZQJ1815-7001;FSRQ;273,96579;-70,02750;0,745
3FGL J1816.9-4944;;274,23331;-49,72908;
NVWJ1817.9+3852;;274,45732;38,87304;
5BZQJ1818+5017;FSRQ;274,62717;50,28881;1,395
5BZQJ1818+0903;FSRQ;274,66690;9,06283;0,354
3FGL J1819.1+2134;;274,77173;21,54273;
3FGL J1819.1+4259;;274,86591;42,96719;
5BZUJ1819-6345;;274,89581;-63,76339;0,063
NVWJ1819.4+4622;;274,93890;46,38140;
5BZUJ1819-5521;;274,93918;-55,35575;1,629
3HSPJ182021.0+362343;BL Lac;275,08740;36,39531;0,330
7C 1822+6816;;275,49788;68,31195;
OU 134;;275,54154;16,00412;
PMN J1823-3724;;275,80124;-37,40103;
5BZGJ1823+7938;;275,80878;79,64695;0,224
3FGL J1822.1-7051;;275,87360;-70,93325;
5BZBJ1823+6857;BL Lac;275,88687;68,96461;
5BZUJ1823-3454;;275,91077;-34,90334;
5BZQJ1824+1044;FSRQ;276,01190;10,73994;1,360
5BZBJ1824+5651;BL Lac;276,02948;56,85042;0,663
3HSPJ182419.0+430950;BL Lac;276,07928;43,16375;0,487
3FGL J1825.2-5230;;276,30756;-52,51619;
3HSPJ182532.0+601922;BL Lac;276,38327;60,32278;0,250
SUMSS J182551-503914;;276,46179;-50,65432;
5BZQJ1826-3650;FSRQ;276,53387;-36,84714;0,888
5BZQJ1826+0149;FSRQ;276,60443;1,82781;1,771
5BZQJ1826+3431;FSRQ;276,74991;34,52058;1,814
5BZQJ1827-4533;FSRQ;276,79266;-45,55278;1,244
1RXS J182724.8-40290;;276,85333;-40,48444;
NVSS J182730+201309;;276,87857;20,21925;
NVSS J182756+263313;;276,98557;26,55350;
3HSPJ182833.6-592055;BL Lac;277,13980;-59,34853;
B2 1826+32D;;277,14792;32,51895;
3HSPJ182854.7-241735;BL Lac;277,22797;-24,29308;0,050
5BZQJ1829-5813;FSRQ;277,30167;-58,23195;1,531
5BZUJ1829+2729;;277,30817;27,48411;
NVWJ1829.3+3919;;277,33060;39,32060;
5BZBJ1829+5402;BL Lac;277,35123;54,04995;
5BZUJ1829+4844;;277,38242;48,74617;0,695
5BZBJ1830+1324;BL Lac;277,50317;13,40397;
3FGL J1830.0-4439;;277,50363;-44,68658;
NVSS J183003+393638;;277,51513;39,61055;
SUMSS J183004-522618;;277,51804;-52,43856;
5BZQJ1830+0619;FSRQ;277,52475;6,32111;0,745
3FGL J1831.0-2714;;277,75018;-27,23505;
3HSPJ183141.0+422130;BL Lac;277,92087;42,35836;0,600
5BZQJ1831-4805;FSRQ;277,92267;-48,08917;1,196
3HSPJ183201.0+382137;BL Lac;278,00409;38,36028;0,220
3HSPJ183229.4+512129;BL Lac;278,12234;51,35792;
5BZBJ1832-5659;BL Lac;278,12909;-56,98908;
5BZQJ1832+1357;FSRQ;278,18008;13,96317;2,830
NVWJ1833.4+5223;;278,34950;52,39306;
5BZQJ1833-2103;FSRQ;278,41638;-21,06103;2,507
5BZBJ1834-5948;;278,56421;-59,81314;0,435
4C +31.51;;278,57560;31,60680;
5BZBJ1834-5856;BL Lac;278,61444;-58,94342;
NVWJ1834.8-3750;;278,62740;-37,84450;
5BZQJ1835+6119;FSRQ;278,83200;61,32778;2,274
3FGL J1835.4+1349;;278,89731;13,81354;
5BZQJ1835+2506;FSRQ;278,99323;25,11261;1,973
5BZBJ1836+3136;BL Lac;279,08850;31,60744;
NVSS J183632+195047;;279,13382;19,84619;
NVSS J183710+534704;;279,29472;53,78503;
5BZQJ1837-7108;FSRQ;279,36960;-71,14544;1,356
NVWJ1837.5+3029;;279,37520;30,48340;
5BZQJ1837-5848;FSRQ;279,47418;-58,80250;3,040
3HSPJ183806.7-600032;BL Lac;279,52808;-60,00892;0,180
3HSPJ183820.6-602522;BL Lac;279,58600;-60,42289;0,121
5BZQJ1838-3427;FSRQ;279,61874;-34,46161;2,780
5BZBJ1838+4802;BL Lac;279,70490;48,04289;0,300
5BZGJ1838+5735;;279,74399;57,59428;0,164
AT20G J183923-345348;;279,84818;-34,89680;
4FGL J1840.3-3037;;279,93491;-30,50649;
5BZQJ1840+2457;FSRQ;280,01428;24,96156;1,634
87GB 184000.4+611120;;280,14725;61,23529;
5BZGJ1840-7709;;280,16083;-77,15797;0,018
5BZQJ1840+3900;FSRQ;280,23813;39,01269;3,095
5BZBJ1840+5452;BL Lac;280,23907;54,87109;0,646
4FGL J1840.5+3707;;280,24414;37,04144;
LQAC 280-055;;280,32291;-55,73805;
5BZBJ1841+5906;BL Lac;280,33463;59,10228;0,530
3HSPJ184121.7+290941;BL Lac;280,34055;29,16133;0,180
5BZBJ1841+3218;BL Lac;280,44601;32,31089;0,240
3HSPJ184207.4+521702;BL Lac;280,53101;52,28394;0,430
4FGL J1842.4+7613;;280,60678;76,18070;
3HSPJ184229.8-584158;BL Lac;280,62430;-58,69930;0,330
5BZQJ1842+6809;FSRQ;280,64017;68,15701;0,472
PKS 1839-48;;280,81091;-48,60644;
5BZBJ1843-7430;BL Lac;280,91757;-74,50672;
3HSPJ184425.4+154646;BL Lac;281,10568;15,77939;0,110
3HSPJ184430.9+544145;BL Lac;281,12857;54,69575;0,234
3HSPJ184445.7-324642;BL Lac;281,19022;-32,77819;
5BZBJ1844+5709;BL Lac;281,21234;57,16072;
3HSPJ184514.1+555242;BL Lac;281,30884;55,87844;0,610
RX J1846.1+7237;;281,55348;72,63073;
5BZQJ1846+3747;FSRQ;281,63300;37,78814;2,441
3HSPJ184642.7+561627;BL Lac;281,67773;56,27428;0,320
NVSS J184754+521513;;281,97684;52,25382;
3FGL J1848.1-4230;;282,02576;-42,50739;
5BZQJ1848+3219;FSRQ;282,09204;32,31739;0,798
5BZBJ1848+6537;BL Lac;282,09442;65,61730;0,364
B2 1846+32B;;282,14317;32,73337;
5BZBJ1848+4245;BL Lac;282,19641;42,76094;0,400
PMN J1848-2718;;282,19793;-27,30502;
5BZQJ1849+6705;FSRQ;282,31696;67,09492;0,657
3HSPJ184919.5-164724;BL Lac;282,33109;-16,79000;0,160
5BZQJ1849+3024;FSRQ;282,33377;30,40394;0,672
1RXS J184924.8-64493;;282,35333;-64,82597;
5BZBJ1849-4314;BL Lac;282,35800;-43,23697;
5BZBJ1849+2748;BL Lac;282,38226;27,80022;
NVWJ1849.5+6027;;282,45130;60,45050;
3HSPJ184951.7+745319;BL Lac;282,46527;74,88859;0,400
3HSPJ185024.0+263154;BL Lac;282,60013;26,53156;0,220
5BZQJ1850+2825;FSRQ;282,61496;28,42033;2,544
NVWJ1850.8+5745;;282,72060;57,75490;
4FGL J1851.5+3406;;282,92166;34,11528;
5BZQJ1852+4855;FSRQ;283,11896;48,92986;1,250
5BZQJ1852+4019;FSRQ;283,12653;40,31850;2,120
5BZBJ1853+6713;BL Lac;283,46692;67,23197;0,212
3FGL J1855.1-6008;;283,71533;-60,15653;
5BZQJ1854+7351;FSRQ;283,73874;73,85553;0,461
5BZQJ1855+3742;FSRQ;283,86545;37,71584;1,120
3HSPJ185550.9+805223;BL Lac;283,96204;80,87312;
4FGL J1855.8-2028;;283,98123;-20,45035;
NVWJ1856.3-2417;;284,10820;-24,28990;
5BZQJ1857-5325;FSRQ;284,25186;-53,41678;0,778
4FGL J1857.8+3544;;284,43710;35,72858;
3HSPJ185813.4+432452;BL Lac;284,55597;43,41441;0,170
3FGL J1858.4-2509;;284,57950;-25,18075;
GALEXASC J185820.26+;;284,58487;73,28700;
87GB 185759.9+570427;;284,72292;57,13602;
4FGL J1901.0+6208;;285,26254;62,12258;
5BZBJ1901-2112;;285,26855;-21,20033;
5BZQJ1901-7429;FSRQ;285,27136;-74,49036;0,638
4FGL J1901.0-1739;;285,27512;-17,64476;
PMN J1901-5138;;285,45419;-51,65223;
3HSPJ190223.4-062848;;285,59740;-6,48010;
5BZQJ1902+3159;FSRQ;285,73306;31,99492;0,635
5BZQJ1903-6749;FSRQ;285,75513;-67,82664;0,255
5BZBJ1903+5540;BL Lac;285,79837;55,67736;
3HSPJ190411.8+362659;BL Lac;286,04935;36,44964;0,130
TXS 1905+542;;286,73929;54,33610;
3FGL J1908.8-0130;;287,15393;-1,44532;
TXS 1907+350;;287,39209;35,18037;
TXS 1906-217;;287,43814;-21,65983;
5BZQJ1909+4834;FSRQ;287,44400;48,57550;0,513
3HSPJ190955.6+592402;;287,48160;59,40050;
PMN J1910-2448;;287,56464;-24,79594;
3HSPJ191052.1+285624;BL Lac;287,71719;28,94008;0,300
5BZQJ1911-2006;FSRQ;287,79022;-20,11530;1,119
3HSPJ191129.7-190825;BL Lac;287,87390;-19,14022;0,160
5BZQJ1911-2102;FSRQ;287,97476;-21,04550;1,420
5BZUJ1911+1611;;287,99274;16,19636;
3FGL J1912.0-0804;;288,02969;-8,07275;
5BZQJ1912+3740;FSRQ;288,10464;37,67683;1,104
3FGL J1912.6-1223;;288,12299;-12,38357;
5BZQJ1912-8010;FSRQ;288,16678;-80,16830;1,756
3HSPJ191251.2-124919;BL Lac;288,21313;-12,82194;
3FGL J1913.5-3631;;288,33704;-36,50540;
5BZQJ1913-4503;FSRQ;288,44397;-45,05322;2,559
3HSPJ191401.9+443832;BL Lac;288,50784;44,64228;0,280
5BZQJ1914-4631;FSRQ;288,55753;-46,52553;1,283
5BZUJ1915+6548;;288,84927;65,81289;0,486
5BZQJ1915-2347;FSRQ;288,93652;-23,78417;1,340
PMN J1916-6928;;289,15121;-69,47594;
5BZQJ1916-7946;FSRQ;289,18469;-79,77275;0,204
PMN J1916-1519;;289,21880;-15,31669;
PMN J1917-6435;;289,39191;-64,59553;
5BZBJ1917-1921;BL Lac;289,43677;-19,35878;0,137
3HSPJ191803.6+033031;BL Lac;289,51498;3,50864;0,230
3HSPJ191809.6+375313;BL Lac;289,54016;37,88697;
5BZQJ1918+5520;FSRQ;289,54480;55,34406;1,734
5BZBJ1918-4111;BL Lac;289,56689;-41,19189;
5BZQJ1918+4937;FSRQ;289,68991;49,63223;0,926
5BZQJ1919-4543;FSRQ;289,81955;-45,72739;2,470
NVWJ1919.1-1806;;289,88270;-18,10980;
3HSPJ192024.9+693537;BL Lac;290,10394;69,59372;0,740
5BZQJ1920-2351;FSRQ;290,20184;-23,85919;1,345
5BZBJ1921-1231;BL Lac;290,34967;-12,53178;
5BZBJ1921-1607;BL Lac;290,46478;-16,12033;
3HSPJ192157.6+581701;BL Lac;290,49017;58,28367;0,400
NVWJ1922.9+4251;;290,66890;42,85640;
3HSPJ192242.3-745357;BL Lac;290,67624;-74,89906;0,360
5BZQJ1923-8007;FSRQ;290,77411;-80,12467;1,481
3HSPJ192325.4-250209;BL Lac;290,85583;-25,03583;0,650
5BZQJ1923-2104;FSRQ;290,88412;-21,07592;0,874
2MASS J19242340-5456;;291,04272;-54,95217;
TXS 1921-159;;291,04929;-15,81724;
5BZQJ1924-2914;FSRQ;291,21274;-29,24170;0,353
3HSPJ192502.3+281542;BL Lac;291,25937;28,26169;0,160
5BZBJ1925-1018;;291,26337;-10,30350;
5BZQJ1925-3401;FSRQ;291,32083;-34,01700;1,523
3HSPJ192519.1+370536;BL Lac;291,32944;37,09322;0,260
5BZBJ1925-5935;BL Lac;291,35150;-59,59231;0,436
3HSPJ192527.1-722045;BL Lac;291,36307;-72,34577;
5BZBJ1925-2219;BL Lac;291,41580;-22,32642;
3FGL J1925.7+1228;;291,42007;12,46058;
5BZBJ1925+2106;BL Lac;291,49838;21,10728;
5BZBJ1926+6154;BL Lac;291,70786;61,91178;
5BZBJ1927+6117;BL Lac;291,87683;61,29247;
5BZQJ1927+7358;FSRQ;291,95209;73,96711;0,302
NVWJ1927.5+4729;;291,97490;47,48360;
5BZUJ1928-0456;;292,09369;-4,94061;0,587
3HSPJ192833.6+533903;;292,13992;53,65072;
TXS 1928+616;;292,39624;61,77480;
5BZQJ1930-6056;FSRQ;292,52570;-60,93589;3,254
5BZBJ1931+0937;BL Lac;292,79004;9,62153;
PMN J1931-1558;;292,82357;-15,96474;
4FGL J1931.5+5229;;292,88812;52,45536;
NVWJ1932.2-3713;;293,13230;-37,23110;
5BZQJ1932-4536;FSRQ;293,18704;-45,61053;0,652
5BZUJ1933+0726;;293,33456;7,43939;0,170
5BZQJ1933-6942;FSRQ;293,37982;-69,71636;1,481
NVSS J193349-102530;;293,45639;-10,42421;
5BZQJ1933+6540;FSRQ;293,48892;65,67136;1,687
3HSPJ193412.8-241920;BL Lac;293,55322;-24,32233;0,230
3HSPJ193419.6+600140;BL Lac;293,58176;60,02764;
5BZQJ1934+6138;FSRQ;293,66953;61,64489;1,749
5BZQJ1934-2416;FSRQ;293,72021;-24,27345;1,543
3HSPJ193517.6+751933;BL Lac;293,82333;75,32589;0,270
5BZQJ1935-1602;FSRQ;293,89917;-16,04233;1,460
5BZQJ1936+7131;FSRQ;294,01483;71,52550;1,864
5BZQJ1936-0402;FSRQ;294,22394;-4,04597;0,490
5BZBJ1936-4719;BL Lac;294,23373;-47,33055;0,265
NVWJ1937.9-0552;;294,28120;-5,87290;
5BZUJ1937-3958;;294,31757;-39,96711;0,965
PKS 1934-423;;294,38730;-42,25511;
3FGL J1935.5+8355;;294,41522;83,94138;
3HSPJ193804.6-380118;BL Lac;294,51895;-38,02158;0,300
5BZQJ1938-1749;FSRQ;294,52066;-17,82233;0,903
5BZQJ1938-4657;FSRQ;294,60977;-46,95708;0,805
NVWJ1939.3+0117;;294,78590;1,29530;
5BZQJ1939-1525;FSRQ;294,86108;-15,42864;1,657
3FGL J1939.6-4925;;294,94202;-49,42728;
5BZQJ1939-1002;FSRQ;294,98859;-10,04486;3,787
5BZQJ1941-0211;FSRQ;295,32892;-2,19586;0,202
5BZUJ1941-6211;;295,34070;-62,18919;
3FGL J1941.8+7218;;295,36243;72,36172;
SUMSS J194224-582824;;295,60281;-58,47345;
5BZQJ1942-7015;FSRQ;295,68921;-70,26234;2,896
5BZBJ1942+1033;BL Lac;295,69785;10,55750;
3FGL J1943.2-3510;;295,77750;-35,16851;
NVWJ1943.5-1531;;295,88391;-15,51699;
3HSPJ194333.8-053354;BL Lac;295,89084;-5,56492;0,500
4FGL J1943.9-2705;;295,98377;-27,09413;
3HSPJ194356.2+211823;BL Lac;295,98434;21,30636;0,220
3HSPJ194422.4-452332;BL Lac;296,09335;-45,39217;0,210
3HSPJ194455.2-214319;BL Lac;296,22983;-21,72200;0,280
AT20G J194519-400557;;296,33103;-40,09896;
PMN J1945-0153;;296,34509;-1,88940;
5BZGJ1945-5520;;296,35400;-55,34694;0,015
5BZQJ1945-3048;FSRQ;296,48978;-30,81369;0,576
5BZBJ1945-3111;BL Lac;296,49756;-31,19425;
3HSPJ194615.3-520849;BL Lac;296,56372;-52,14686;0,230
NVWJ1946.3-2020;;296,65160;-20,33494;
NVWJ1947.7-3640;;296,80270;-36,68260;
3FGL J1949.0+1312;;297,23038;13,24400;
3FGL J1949.4-6140;;297,39209;-61,62603;
3HSPJ194934.2+090654;BL Lac;297,39252;9,11489;
4FGL J1949.2+7250;;297,39679;72,87860;
5BZQJ1949+5041;FSRQ;297,43274;50,69156;1,929
5BZQJ1949-1957;FSRQ;297,47260;-19,95369;2,652
CRATES J195016+73102;;297,57260;73,17540;
3HSPJ195021.9+604754;BL Lac;297,59119;60,79831;0,250
