Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
No;5BZGJ1143+7304;;175,77063;73,06922;0,123;1,85E+20;;;16,2;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 11 arcseconds;;;;;;;
No;5BZQJ1143+1843;FSRQ;175,77513;18,72856;0,374;1,63E+20;;;14,9;0,5;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,1;;;;;;
No;5BZBJ1143+6122;BL Lac;175,80051;61,36967;;2,53E+20;;;14,3;0,3;;No possible source for confusion within 20 arcseconds;2,6;0,36;15,0;0,4;-11,55;-11,74;-11,33
Yes;5BZQJ1143+6633;FSRQ;175,92332;66,55867;2,328;1,03E+20;13,2;-12,4;13,2;0,7;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 20 arcseconds;1,2;;;;;;
No;3HSPJ114352.7+155822;BL Lac;175,96945;15,97275;0,670;2,74E+20;;;16,2;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,6;1,23;17,5;0,0;-11,95;0,00;0,00
No;5BZBJ1143+5102;BL Lac;175,99001;51,04358;;1,21E+20;;;15,0;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;;;;;;;
No;4FGL J1143.7-1014;;176,00313;-10,29580;;2,55E+20;;;13,0;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;NVWJ1144.5+1231;;176,00419;12,53209;;3,42E+20;13,2;-12,3;13,2;0,5;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,5;0,42;15,2;0,4;-12,04;-12,12;-11,95
No;3FGL J1145.1+1935;;176,27087;19,60632;;1,87E+20;;;13,9;0,5;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZQJ1145+0455;FSRQ;176,33882;4,92408;1,342;1,48E+20;12,9;-12,5;12,9;0,5;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,4;-0,55;12,6;0,4;-12,26;-12,32;-12,17
Yes;5BZQJ1145-2250;FSRQ;176,34187;-22,84203;1,141;4,19E+20;12,5;-12,3;12,4;0,4;;Possible confusing source at distance of 6 arcseconds, vmag=100.0;3,0;-0,50;12,6;0,4;-12,27;-12,51;-12,03
No;NVWJ1145.0-2859;;176,34240;-28,99250;;5,80E+20;;;15,4;0,5;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,9;0,31;14,8;0,4;-12,05;-12,15;-11,88
No;3HSPJ114523.4+334744;BL Lac;176,34741;33,79561;0,510;1,55E+20;;;16,2;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 17 arcseconds;;;;;;;
No;4FGL J1145.6+5552;;176,38280;55,88023;;7,96E+19;;;13,0;0,5;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 6 arcseconds, vmag=100.0;;;;;;;
No;4FGL J1145.7-1528;;176,39090;-15,48273;;2,62E+20;;;13,0;0,9;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZGJ1145-0340;;176,39629;-3,66714;0,167;2,45E+20;17,4;-12,0;17,4;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,5;0,70;16,3;0,4;-11,73;-11,81;-11,62
Yes;3FGL J1145.8+4425;;176,41049;44,33942;;1,74E+20;13,1;-12,0;13,6;0,5;;No possible source for confusion within 20 arcseconds;1,8;-0,15;13,1;0,4;-11,99;-12,11;-11,85
No;5BZQJ1145-6954;FSRQ;176,47342;-69,90050;0,244;1,69E+21;;;13,1;0,5;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,2;;;;;;
Yes;3HSPJ114600.9-063855;BL Lac;176,50356;-6,64858;0,370;2,71E+20;16,2;-12,5;16,2;0,4;;There are no confusing sources at this position. The closest object is located at 20 arcseconds;2,3;0,26;14,6;0,4;-12,52;-12,63;-12,26
No;5BZQJ1146-2447;FSRQ;176,53375;-24,79247;1,940;4,27E+20;;;12,3;0,4;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
Yes;5BZQJ1146-2859;FSRQ;176,60912;-28,98847;0,450;5,64E+20;12,9;-11,9;13,1;0,3;;There are no confusing sources at this position. The closest object is located at 16 arcseconds;5,0;-0,40;12,8;0,4;-11,92;-12,30;-11,60
Yes;5BZQJ1146+5848;FSRQ;176,61212;58,80953;1,982;1,49E+20;12,5;-12,7;12,5;0,5;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;CRATES J114629-33282;;176,61883;-33,47964;;6,01E+20;;;12,8;0,4;;Possible confusing source at distance of 4 arcseconds, vmag=100.0;1,4;0,45;15,3;0,4;-11,72;-11,80;-11,64
Yes;5BZQJ1146+5356;FSRQ;176,68416;53,94530;2,201;1,02E+20;12,4;-12,6;12,4;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3FGL J1146.8+3958;;176,72278;39,96414;;1,49E+20;;;14,1;1,0;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;NVWJ1146.6+3236;;176,72620;32,61460;;1,71E+20;;;15,4;0,4;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,6;0,06;13,8;0,4;-12,31;-12,41;-12,21
Yes;5BZQJ1146+3958;FSRQ;176,74290;39,97620;1,089;1,49E+20;12,6;-11,5;12,7;0,3;;No possible source for confusion within 20 arcseconds;10,4;-0,69;12,4;0,4;-11,48;-11,87;-10,85
Yes;5BZBJ1147-3812;BL Lac;176,75572;-38,20305;1,048;6,62E+20;12,7;-11,4;12,7;0,4;;There are no confusing sources at this position. The closest object is located at 15 arcseconds;4,7;-0,33;12,8;0,4;-11,37;-11,81;-11,13
No;PMN J1147-2625;;176,77619;-26,42071;;4,84E+20;;;13,6;0,5;;Possible confusing source at distance of 5 arcseconds, vmag=100.0;10,1;0,07;13,9;0,4;-12,09;-12,44;-11,43
No;3HSPJ114709.0-323003;BL Lac;176,78746;-32,50092;0,370;5,03E+20;;;16,5;0,4;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,8;1,44;17,5;0,0;-11,96;0,00;0,00
Yes;5BZGJ1147+3501;;176,84221;35,01875;0,063;1,63E+20;13,4;-11,6;13,4;0,9;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,5;1,44;17,5;0,0;-10,45;0,00;0,00
Yes;5BZQJ1147-6753;FSRQ;176,88916;-67,89494;0,210;2,31E+21;12,9;-11,5;12,8;0,3;;Possible confusing source at distance of 6 arcseconds, vmag=100.0;2,5;-0,22;13,0;0,4;-11,49;-11,62;-11,23
No;3HSPJ114746.4+673906;BL Lac;176,94350;67,65172;0,780;1,45E+20;;;16,0;0,7;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3HSPJ114747.9-211640;BL Lac;176,94963;-21,27789;0,350;3,75E+20;;;16,9;0,5;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 4 arcseconds, vmag=100.0;;;;;;;
Yes;5BZQJ1147-0724;FSRQ;176,96480;-7,41142;1,342;3,25E+20;12,4;-11,9;12,5;0,3;;No possible source for confusion within 20 arcseconds;2,5;-0,74;12,3;0,4;-11,89;-12,05;-11,66
No;5BZGJ1147+2205;;176,97975;22,09492;0,276;1,93E+20;;;16,5;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 2 arcseconds, vmag=17.8;1,2;;;;;;
No;5BZQJ1147+2635;FSRQ;176,99899;26,59509;0,867;1,66E+20;;;12,6;0,5;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;1,6;-0,80;12,3;0,4;-11,58;-11,69;-11,49
No;5BZQJ1148+5654;FSRQ;177,01331;56,90325;0,451;8,08E+19;;;15,4;0,4;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,2;;;;;;
No;3HSPJ114830.5-074509;BL Lac;177,12691;-7,75239;;3,28E+20;;;16,1;0,4;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
Yes;5BZBJ1148+1840;BL Lac;177,15736;18,66917;;3,23E+20;13,0;-12,2;13,0;0,4;;No possible source for confusion within 20 arcseconds;3,2;-0,12;13,1;0,4;-12,19;-12,36;-11,86
Yes;5BZGJ1148+5924;;177,20984;59,41566;0,011;1,86E+20;13,7;-11,5;13,7;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 11 arcseconds;;;;;;;
Yes;5BZQJ1148-0404;FSRQ;177,23283;-4,06933;0,340;2,53E+20;12,5;-11,8;12,6;0,4;;No possible source for confusion within 20 arcseconds;1,6;-0,80;12,3;0,4;-11,77;-11,84;-11,65
No;5BZQJ1148+5254;FSRQ;177,23570;52,90703;1,632;1,65E+20;;;13,1;0,8;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,1;;;;;;
Yes;4FGL J1149.1+2819;;177,28711;28,40969;;1,72E+20;12,6;-12,3;12,6;0,4;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;5,8;-0,51;12,6;0,4;-12,30;-12,59;-11,82
Yes;PMN J1149-4029;;177,32380;-40,49673;;8,16E+20;13,8;-12,0;13,8;0,4;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;3,5;0,21;14,4;0,4;-11,58;-11,86;-11,32
No;5BZBJ1149+6243;BL Lac;177,35892;62,72569;;1,46E+20;;;14,4;0,5;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;2,4;0,65;16,1;0,4;-11,83;-12,01;-11,64
No;5BZBJ1149+2439;BL Lac;177,37646;24,65744;0,402;2,33E+20;;;16,3;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,4;1,24;17,5;0,0;-11,58;0,00;0,00
No;5BZBJ1149+1035;BL Lac;177,48195;10,58558;;2,60E+20;;;15,9;0,5;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 4 arcseconds, vmag=100.0;1,7;0,54;15,7;0,4;-12,35;-12,45;-12,21
No;5BZGJ1150+5528;;177,50032;55,47261;0,139;7,73E+19;;;15,1;0,9;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,1;;;;;;
No;5BZQJ1150+4332;FSRQ;177,56917;43,53497;3,037;1,87E+20;;;12,9;0,8;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3HSPJ115017.0+101653;BL Lac;177,57088;10,28136;0,284;2,12E+20;;;16,4;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,2;;;;;;
Yes;5BZBJ1150+2417;BL Lac;177,58005;24,29828;;2,10E+20;13,3;-11,0;13,7;0,6;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;2,0;-0,13;13,1;0,4;-10,83;-11,00;-10,69
No;5BZQJ1150+0156;FSRQ;177,60330;1,93897;0,706;2,18E+20;;;14,6;0,7;;No possible source for confusion within 20 arcseconds;1,5;-0,41;12,7;0,4;-12,33;-12,40;-12,24
Yes;5BZQJ1150-1930;FSRQ;177,63136;-19,51375;2,489;3,34E+20;12,4;-12,8;12,4;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3HSPJ115031.8-381833;BL Lac;177,63239;-38,30914;0,300;6,98E+20;;;15,5;0,4;;No possible source for confusion within 20 arcseconds;1,3;-0,01;13,6;0,4;-12,59;-12,63;-12,51
Yes;5BZBJ1150+4154;BL Lac;177,64488;41,91114;0,320;1,74E+20;15,6;-11,6;15,7;0,8;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;2,2;0,75;16,5;0,4;-11,22;-11,42;-11,09
Yes;5BZQJ1150-0023;FSRQ;177,68279;-0,39839;1,976;2,01E+20;12,5;-12,3;12,3;0,4;;There are no confusing sources at this position. The closest object is located at 15 arcseconds;1,6;0,14;14,1;0,4;-12,17;-12,25;-12,05
No;5BZQJ1151-1723;FSRQ;177,76332;-17,39994;1,751;2,82E+20;;;12,3;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 6 arcseconds, vmag=100.0;;;;;;;
Yes;SDSS J115124.69+0957;;177,82212;9,97398;;2,09E+20;13,6;-12,3;13,8;0,5;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;2,6;-0,03;13,5;0,4;-12,24;-12,47;-12,06
No;5BZBJ1151+5859;BL Lac;177,85283;58,98822;0,300;2,07E+20;;;15,1;0,2;;No possible source for confusion within 20 arcseconds;2,0;0,58;15,8;0,4;-11,14;-11,30;-11,00
Yes;5BZBJ1151-1347;BL Lac;177,87483;-13,79742;;3,42E+20;14,1;-12,2;13,9;0,6;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;2,8;0,21;14,4;0,4;-12,13;-12,32;-11,87
No;PKS 1149-480;;177,90770;-48,36832;;7,29E+20;;;12,6;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;;;;;;;
No;NVSS J115140-211345;;177,91798;-21,22848;;3,10E+20;;;15,3;0,5;;No possible source for confusion within 20 arcseconds;2,5;0,70;16,3;0,4;-11,90;-12,07;-11,68
No;5BZBJ1152+2837;BL Lac;178,04462;28,62255;0,441;1,77E+20;;;15,2;0,6;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,9;1,03;17,5;0,0;-11,47;0,00;0,00
Yes;5BZQJ1152-0841;FSRQ;178,07172;-8,68425;2,370;4,69E+20;12,7;-12,0;12,7;0,3;;No possible source for confusion within 20 arcseconds;5,8;-0,54;12,6;0,4;-12,03;-12,36;-11,59
No;5BZBJ1152+1531;BL Lac;178,09245;15,53003;;2,39E+20;;;15,1;0,7;;There are no confusing sources at this position. The closest object is located at 16 arcseconds;2,2;-0,52;12,6;0,4;-12,38;-12,60;-12,26
No;5BZQJ1152+3209;FSRQ;178,11455;32,16644;0,374;2,09E+20;;;15,6;0,6;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,4;0,21;14,4;0,4;-12,11;-12,15;-12,00
No;5BZQJ1152+4939;FSRQ;178,13696;49,66078;1,093;1,68E+20;;;14,0;0,9;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,0;;;;;;
No;3HSPJ115244.8+340639;BL Lac;178,18683;34,11075;0,705;1,94E+20;;;16,1;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 20 arcseconds;;;;;;;
No;5BZQJ1152+3307;FSRQ;178,21629;33,12189;1,400;2,31E+20;;;12,8;0,7;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,0;;;;;;
Yes;5BZQJ1152-0519;FSRQ;178,23122;-5,33014;1,983;2,28E+20;13,0;-12,5;13,1;0,9;;No possible source for confusion within 20 arcseconds;2,5;-0,26;12,9;0,4;-12,54;-12,64;-12,25
No;3HSPJ115257.6+241345;BL Lac;178,24016;24,22928;0,175;1,54E+20;;;16,3;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 9 arcseconds, vmag=100.0;1,1;;;;;;
Yes;5BZQJ1153+8058;FSRQ;178,30209;80,97478;1,250;4,60E+20;12,5;-12,2;12,7;0,4;;No possible source for confusion within 20 arcseconds;1,9;-0,77;12,3;0,4;-11,83;-11,94;-11,67
No;5BZQJ1153+0914;FSRQ;178,30229;9,23397;0,696;1,74E+20;;;13,2;0,6;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
No;PKS B1150-108;;178,34297;-11,08683;;2,69E+20;;;13,0;0,6;;No possible source for confusion within 20 arcseconds;10,8;-0,63;12,5;0,4;-12,15;-12,69;-11,66
No;5BZUJ1153+5831;;178,34991;58,52739;0,202;1,68E+20;;;15,2;0,9;;Possible confusing source at distance of 9 arcseconds, vmag=100.0;2,4;0,17;14,3;0,4;-11,89;-12,09;-11,71
Yes;5BZQJ1153+4931;FSRQ;178,35196;49,51911;0,334;2,06E+20;12,8;-11,3;12,8;0,4;;No possible source for confusion within 20 arcseconds;2,5;-0,43;12,7;0,4;-11,28;-11,41;-11,01
No;3FGL J1153.7-2555;;178,36011;-25,90192;;5,41E+20;;;15,1;0,8;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 8 arcseconds, vmag=100.0;;;;;;;
No;5BZQJ1153+3617;FSRQ;178,36125;36,29064;1,358;1,93E+20;;;15,3;0,4;;No possible source for confusion within 20 arcseconds;1,3;-0,92;12,1;0,4;-11,87;-11,92;-11,79
Yes;PMN J1153-2553;;178,41024;-25,90366;;5,30E+20;15,3;-12,4;15,4;0,6;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;2,9;0,37;15,0;0,4;-11,86;-12,08;-11,62
No;5BZBJ1153+3823;BL Lac;178,42880;38,38497;0,410;1,74E+20;;;15,2;1,0;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,7;0,62;16,0;0,4;-11,89;-11,97;-11,75
Yes;5BZQJ1153+4036;FSRQ;178,47775;40,61461;0,916;1,50E+20;12,9;-12,3;12,5;0,4;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;2,0;-0,14;13,1;0,4;-12,26;-12,33;-12,04
No;5BZQJ1154+5934;FSRQ;178,50571;59,58172;0,871;1,89E+20;;;14,0;1,5;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,6;-0,25;12,9;0,4;-12,34;-12,44;-12,23
Yes;5BZBJ1154-0010;BL Lac;178,51900;-0,16942;0,254;1,82E+20;16,3;-11,9;16,3;0,4;;No possible source for confusion within 20 arcseconds;2,1;1,03;17,5;0,0;-11,55;0,00;0,00
Yes;5BZQJ1154+6022;FSRQ;178,51901;60,37247;1,120;1,91E+20;12,5;-12,1;12,7;0,4;;No possible source for confusion within 20 arcseconds;2,5;-0,77;12,3;0,4;-12,05;-12,24;-11,84
No;NVWJ1154.0+1857;;178,52550;18,95660;;2,44E+20;;;14,8;0,6;;No possible source for confusion within 20 arcseconds;2,6;0,55;15,7;0,4;-12,04;-12,27;-11,84
Yes;5BZBJ1154-3242;;178,52580;-32,71202;;6,75E+20;13,1;-12,1;13,2;0,4;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;2,5;-0,26;12,9;0,4;-12,07;-12,26;-11,87
No;5BZGJ1154+0238;;178,53867;2,63753;0,211;1,95E+20;;;15,9;0,5;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 18 arcseconds;1,3;0,69;16,3;0,4;-11,66;-11,72;-11,60
No;5BZGJ1154+1225;;178,54341;12,41936;0,081;2,24E+20;;;15,5;1,0;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;;;;;;;
No;5BZQJ1155-3107;FSRQ;178,76317;-31,13297;4,300;4,87E+20;;;13,1;1,0;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 20 arcseconds;;;;;;;
No;4FGL J1155.2+4320;;178,78058;43,27260;1,176;1,44E+20;;;15,1;0,7;Not enough flux variability. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,3;;;;;;
No;3HSPJ115514.9-111123;BL Lac;178,81190;-11,18958;0,470;2,86E+20;;;16,4;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,4;1,01;17,5;0,4;-11,90;-11,95;-11,81
Yes;5BZBJ1155+0926;BL Lac;178,82613;9,44478;0,470;2,07E+20;15,7;-12,6;15,7;0,4;Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,4;;;;;;
Yes;3HSPJ115520.5-341720;BL Lac;178,83549;-34,28883;;5,93E+20;15,6;-11,7;15,6;0,3;;Possible confusing source at distance of 2 arcseconds, vmag=100.0;2,1;0,48;15,5;0,4;-11,66;-11,82;-11,51
No;3HSPJ115522.1-135111;BL Lac;178,84195;-13,85297;0,470;3,64E+20;;;15,9;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;;;;;;;
No;3HSPJ115531.3+060856;BL Lac;178,88046;6,14881;0,368;1,07E+20;;;16,2;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 18 arcseconds;;;;;;;
No;NVWJ1155.6-0835;;178,89550;-8,59280;;3,45E+20;;;15,6;0,6;;No possible source for confusion within 20 arcseconds;1,6;0,26;14,6;0,4;-12,29;-12,39;-12,20
Yes;4FGL J1155.8-1217;;178,90341;-12,27653;;3,84E+20;13,2;-12,1;13,3;0,5;;No possible source for confusion within 20 arcseconds;3,0;-0,18;13,0;0,4;-12,13;-12,39;-11,91
Yes;5BZQJ1155+0214;FSRQ;178,92726;2,23642;0,873;1,74E+20;15,1;-12,0;15,1;0,5;Not enough flux variability. ;Possible confusing source at distance of 6 arcseconds, vmag=100.0;1,1;;;;;;
No;5BZUJ1155-8101;;178,94225;-81,02170;1,395;8,22E+20;;;12,6;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 12 arcseconds;;;;;;;
Yes;3FGL J1155.9+6136;;178,95169;61,59830;;2,74E+20;14,7;-12,4;15,4;0,6;;No possible source for confusion within 20 arcseconds;2,7;0,29;14,7;0,4;-12,35;-12,56;-12,12
Yes;3HSPJ115633.2-225004;BL Lac;179,13841;-22,83450;;3,82E+20;15,7;-12,0;15,5;0,4;;No possible source for confusion within 20 arcseconds;3,1;0,61;15,9;0,4;-11,84;-12,06;-11,56
No;5BZGJ1156+4238;;179,19400;42,63539;0,172;1,34E+20;;;16,0;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,1;;;;;;
No;3HSPJ115653.2+241246;BL Lac;179,22163;24,21278;0,145;1,39E+20;;;15,6;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;;;;;;;
Yes;4FGL J1156.6+0640;;179,25272;6,68683;;1,13E+20;12,8;-12,7;12,8;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;5BZGJ1157+2822;;179,28972;28,36686;0,300;1,97E+20;;;16,3;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,1;;;;;;
No;3HSPJ115803.8-033338;BL Lac;179,51562;-3,56044;0,370;2,26E+20;;;16,2;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 9 arcseconds, vmag=100.0;1,5;1,06;17,5;0,0;-11,88;0,00;0,00
Yes;5BZGJ1158+2450;;179,60745;24,83833;0,202;1,52E+20;12,8;-11,1;12,8;0,4;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,1;;;;;;
Yes;5BZQJ1158+4825;FSRQ;179,61154;48,42117;2,028;2,65E+20;12,7;-12,2;12,7;0,3;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;6,4;-0,53;12,6;0,4;-12,14;-12,60;-11,80
No;3HSPJ115853.2+081943;BL Lac;179,72168;8,32869;0,290;1,35E+20;;;15,9;0,5;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 19 arcseconds;1,8;1,33;17,5;0,0;-11,65;0,00;0,00
Yes;5BZBJ1158+0937;BL Lac;179,72655;9,61992;;1,46E+20;15,1;-12,1;15,1;0,6;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,5;0,36;15,0;0,4;-12,08;-12,16;-11,98
No;3HSPJ115904.4+210209;BL Lac;179,76820;21,03592;0,350;2,11E+20;;;16,4;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,2;;;;;;
Yes;5BZUJ1159-2228;;179,79697;-22,47692;0,565;3,56E+20;12,7;-11,7;12,7;0,3;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;18,9;-0,37;12,8;0,4;-11,67;-12,18;-10,90
Yes;4FGL J1158.9+0956;;179,79944;9,91305;;1,45E+20;12,7;-12,3;12,7;0,3;;No possible source for confusion within 20 arcseconds;5,1;-0,37;12,8;0,4;-12,27;-12,73;-12,02
Yes;3HSPJ115912.6-143155;BL Lac;179,80263;-14,53189;0,480;3,83E+20;17,0;-12,0;17,0;0,5;Flux too close to background. ;No possible source for confusion within 20 arcseconds;1,6;;;;;;
Yes;5BZUJ1159-0940;;179,80295;-9,68111;;3,25E+20;12,6;-12,2;12,6;0,4;;No possible source for confusion within 20 arcseconds;2,8;-0,43;12,7;0,4;-12,20;-12,44;-12,00
