Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;5BZBJ0109+1816;BL Lac;17,28408;18,26875;;4,24E+20;14,5;-11,3;14,5;0,4;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;2,7;0,72;16,4;0,4;-11,11;-11,27;-10,84
Yes;GB6 J0109+2400;;17,31112;24,00958;;4,18E+20;14,1;-12,2;14,2;0,4;;Possible confusing source at distance of 3 arcseconds, vmag=17.5;1,7;0,78;16,6;0,4;-11,81;-11,95;-11,72
Yes;5BZQJ0109+6133;FSRQ;17,44308;61,55847;0,783;5,20E+21;12,7;-11,4;12,7;0,3;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 3 arcseconds, vmag=100.0;;;;;;;
Yes;3HSPJ010956.6-402051;BL Lac;17,48571;-40,34747;0,313;2,20E+20;16,7;-11,9;16,7;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 15 arcseconds;1,2;;;;;;
Yes;5BZGJ0110+4149;;17,51996;41,83081;0,096;7,60E+20;16,4;-12,1;16,4;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,1;;;;;;
No;3HSPJ011009.7+042420;BL Lac;17,54054;4,40567;0,393;2,41E+20;;;16,0;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,3;;;;;;
Yes;4FGL J0110.3-0431;;17,54335;-4,59303;;3,64E+20;13,6;-12,2;13,9;0,5;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,8;-0,04;13,4;0,4;-12,24;-12,34;-12,09
No;5BZBJ0110-0047;BL Lac;17,55275;-0,79633;0,548;3,49E+20;;;15,2;0,7;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,3;1,46;17,5;0,0;-11,88;0,00;0,00
No;5BZUJ0110+6805;;17,55362;68,09478;;4,28E+21;;;14,4;0,6;;Possible confusing source at distance of 9 arcseconds, vmag=17.8;1,6;0,36;15,0;0,4;-10,93;-11,01;-10,79
No;5BZBJ0110-0415;BL Lac;17,62875;-4,25861;;3,53E+20;;;15,0;0,7;;No possible source for confusion within 20 arcseconds;1,8;-0,29;12,9;0,4;-11,93;-12,03;-11,77
No;5BZQJ0110-1648;FSRQ;17,64796;-16,80770;0,780;1,51E+20;;;14,6;0,6;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,1;;;;;;
Yes;5BZBJ0110-1255;BL Lac;17,70825;-12,91764;0,230;1,77E+20;17,0;-11,7;17,2;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,3;;;;;;
Yes;5BZQJ0110-0741;FSRQ;17,70842;-7,69475;1,779;5,53E+20;12,4;-12,4;12,2;0,4;;No possible source for confusion within 20 arcseconds;2,6;-0,50;12,6;0,4;-12,41;-12,53;-12,11
Yes;GB6 J0110+4345;;17,75225;43,76100;;7,99E+20;15,0;-12,2;15,1;0,6;;There are no confusing sources at this position. The closest object is located at 20 arcseconds;2,1;0,20;14,4;0,4;-12,33;-12,52;-12,20
No;NVWJ0111.7+3441;;17,85360;34,69850;;5,18E+20;;;15,8;0,5;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;1,9;0,23;14,5;0,4;-12,46;-12,57;-12,30
