   1  matched source   11.51363   40.22961  99  0.000
 Frequency     nufnu     nufnu unc.  nufnu unc. start time   end time   Flag  Catalog          Reference
    Hz       erg/cm2/s     upper       lower        MJD         MJD   
---------------------------------------------------------------------------------------------------------------------------
 2.418E+17   1.274E-14   1.780E-14   7.668E-15  55000.0000  55000.0000   Det  4XMM-DR13        Webb et al. 2020, A&A, 641, A136                                                                                                                                                                        
 6.517E+13   9.083E-14   9.083E-14   9.083E-14  55210.8008  55210.8008   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.280E-13   2.280E-13   2.280E-13  55210.8008  55210.8008   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   7.467E-13   7.467E-13   7.467E-13  55210.8008  55210.8008   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   8.450E-14   1.149E-13   6.212E-14  55210.8672  55210.8672   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   6.635E-14   6.635E-14   6.635E-14  55210.8672  55210.8672   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.348E-13   2.348E-13   2.348E-13  55210.8672  55210.8672   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   1.436E-12   1.436E-12   1.436E-12  55210.8672  55210.8672   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   1.085E-13   1.325E-13   8.881E-14  55210.9336  55210.9336   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   1.011E-13   1.011E-13   1.011E-13  55210.9336  55210.9336   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.746E-13   2.746E-13   2.746E-13  55210.9336  55210.9336   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   8.677E-13   8.677E-13   8.677E-13  55210.9336  55210.9336   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   9.351E-14   1.189E-13   7.353E-14  55211.1992  55211.1992   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   1.014E-13   1.400E-13   7.336E-14  55211.1992  55211.1992   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.261E-13   2.261E-13   2.261E-13  55211.1992  55211.1992   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   9.628E-13   9.628E-13   9.628E-13  55211.1992  55211.1992   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   1.022E-13   1.261E-13   8.288E-14  55397.1211  55397.1211   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   7.169E-14   1.129E-13   4.552E-14  55397.1211  55397.1211   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   1.909E-13   1.909E-13   1.909E-13  55397.1211  55397.1211   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   1.066E-12   1.066E-12   1.066E-12  55397.1211  55397.1211   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   1.164E-13   1.396E-13   9.711E-14  55397.2539  55397.2539   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   6.802E-14   1.104E-13   4.190E-14  55397.2539  55397.2539   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.627E-13   2.627E-13   2.627E-13  55397.2539  55397.2539   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   7.250E-13   7.250E-13   7.250E-13  55397.2539  55397.2539   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   1.257E-13   1.498E-13   1.054E-13  55397.3867  55397.3867   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   8.926E-14   1.331E-13   5.985E-14  55397.3867  55397.3867   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   1.928E-13   1.928E-13   1.928E-13  55397.3867  55397.3867   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   8.928E-13   8.928E-13   8.928E-13  55397.3867  55397.3867   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   1.039E-13   1.279E-13   8.434E-14  55397.5195  55397.5195   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   9.468E-14   1.285E-13   6.973E-14  55397.5195  55397.5195   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.101E-13   2.101E-13   2.101E-13  55397.5195  55397.5195   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   1.313E-12   1.313E-12   1.313E-12  55397.5195  55397.5195   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   1.303E-13   1.540E-13   1.102E-13  55397.5859  55397.5859   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   9.662E-14   9.662E-14   9.662E-14  55397.5859  55397.5859   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   0.000E+00   0.000E+00   0.000E+00  55397.5859  55397.5859   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   0.000E+00   0.000E+00   0.000E+00  55397.5859  55397.5859   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   9.299E-14   1.169E-13   7.400E-14  55210.2070  55210.2070   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   8.239E-14   1.173E-13   5.784E-14  55210.2070  55210.2070   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.736E-13   2.736E-13   2.736E-13  55210.2070  55210.2070   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   8.487E-13   8.487E-13   8.487E-13  55210.2070  55210.2070   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   5.234E-14   8.334E-14   3.287E-14  55210.3398  55210.3398   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   6.395E-14   6.395E-14   6.395E-14  55210.3398  55210.3398   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   3.701E-13   3.701E-13   3.701E-13  55210.3398  55210.3398   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   1.020E-12   1.020E-12   1.020E-12  55210.3398  55210.3398   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   1.450E-13   1.703E-13   1.234E-13  55210.6055  55210.6055   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   1.004E-13   1.004E-13   1.004E-13  55210.6055  55210.6055   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.240E-13   2.240E-13   2.240E-13  55210.6055  55210.6055   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   1.111E-12   1.111E-12   1.111E-12  55210.6055  55210.6055   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   9.325E-14   1.195E-13   7.279E-14  55210.6055  55210.6055   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   1.019E-13   1.019E-13   1.019E-13  55210.6055  55210.6055   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.620E-13   2.620E-13   2.620E-13  55210.6055  55210.6055   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   1.190E-12   1.190E-12   1.190E-12  55210.6055  55210.6055   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 8.817E+13   7.828E-14   1.070E-13   5.729E-14  55210.6719  55210.6719   Det  WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 6.517E+13   9.823E-14   9.823E-14   9.823E-14  55210.6719  55210.6719   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 2.498E+13   2.459E-13   2.459E-13   2.459E-13  55210.6719  55210.6719   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
 1.363E+13   2.010E-12   2.010E-12   2.010E-12  55210.6719  55210.6719   UL   WISEME           Wright et al. 2010, AJ, 140, 1868                                                                                                                                                                       
